Var1,Freq
3 Biotech,1
ACG case reports journal,1
ACS applied materials &amp; interfaces,1
ACS central science,1
ACS medicinal chemistry letters,1
ACS omega,1
Acta biochimica et biophysica Sinica,2
Acta biochimica Polonica,2
"Acta crystallographica. Section F, Structural biology communications",2
Acta histochemica,1
"Acta physiologica (Oxford, England)",6
Advances in experimental medicine and biology,1
Advances in rare diseases,1
Aging,3
"Alcohol (Fayetteville, N.Y.)",1
"Alcoholism, clinical and experimental research",2
American journal of hypertension,1
American journal of medical genetics. Part A,1
American journal of nephrology,1
American journal of physiology. Cell physiology,4
American journal of physiology. Endocrinology and metabolism,1
American journal of physiology. Gastrointestinal and liver physiology,1
American journal of physiology. Heart and circulatory physiology,4
American journal of physiology. Lung cellular and molecular physiology,1
"American journal of physiology. Regulatory, integrative and comparative physiology",2
American journal of physiology. Renal physiology,2
American journal of respiratory cell and molecular biology,2
American journal of rhinology &amp; allergy,1
American journal of translational research,2
Amino acids,8
Analytical biochemistry,1
Analytical chemistry,1
Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,1
Andrologia,1
Animal biotechnology,2
Animals : an open access journal from MDPI,1
Annals of general psychiatry,1
Annals of pediatric cardiology,1
Annals of the New York Academy of Sciences,2
Anticancer research,3
Antimicrobial agents and chemotherapy,1
Antioxidants &amp; redox signaling,17
"Antioxidants (Basel, Switzerland)",1
Applied and environmental microbiology,1
Applied immunohistochemistry &amp; molecular morphology : AIMM,1
"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme",1
Archives of biochemistry and biophysics,5
Archives of medical science : AMS,1
Archives of oral biology,2
"Arteriosclerosis, thrombosis, and vascular biology",1
ASN neuro,1
Austin journal of clinical ophthalmology,1
Autophagy,1
Basic &amp; clinical pharmacology &amp; toxicology,1
Basic research in cardiology,1
Behavioural brain research,1
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,1
Biochemical and biophysical research communications,10
Biochemical genetics,1
Biochemical pharmacology,8
Biochemistry,3
Biochemistry. Biokhimiia,1
Biochimica et biophysica acta,6
Biochimica et biophysica acta. General subjects,1
Biochimica et biophysica acta. Molecular basis of disease,3
Biochimie,7
"BioFactors (Oxford, England)",2
Biological &amp; pharmaceutical bulletin,3
Biological trace element research,3
Biology,1
Biology of reproduction,5
Biology open,1
Biomacromolecules,1
BioMed research international,3
Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie,1
Biomolecules,6
Biomolecules &amp; therapeutics,1
Bioorganic &amp; medicinal chemistry letters,1
Biophysical journal,2
Bioscience reports,2
Biosensors &amp; bioelectronics,1
Biotechnology and bioengineering,1
Biotechnology letters,1
"Blood cells, molecules &amp; diseases",1
BMC cancer,1
BMC cell biology,1
BMC complementary and alternative medicine,1
BMC genomics,1
BMC neuroscience,1
BMC veterinary research,1
BMJ case reports,3
BMJ open,1
Bone,1
"Brain pathology (Zurich, Switzerland)",1
Brain research,2
Brain research bulletin,1
Brain topography,1
"Brain, behavior, and immunity",2
Brazilian journal of otorhinolaryngology,1
British journal of cancer,1
British journal of pharmacology,10
Bulletin of experimental biology and medicine,2
Canadian journal of physiology and pharmacology,8
Canadian Urological Association journal = Journal de l'Association des urologues du Canada,1
Cancer,1
Cancer letters,1
Cancer research,1
Cardiovascular research,1
Case reports in oncology,2
Cell biochemistry and biophysics,2
"Cell cycle (Georgetown, Tex.)",2
Cell death &amp; disease,4
Cell death and differentiation,1
Cell death discovery,1
Cell reports,1
Cell stem cell,1
Cells,1
"Cellular and molecular biology (Noisy-le-Grand, France)",1
Cellular and molecular gastroenterology and hepatology,1
Cellular and molecular life sciences : CMLS,2
Cellular and molecular neurobiology,6
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",1
Central European journal of public health,1
